strategy_date,trade_date,portfolio_value,portfolio_nav,etf_count,total_etfs,absolute_return,return_rate,has_trading,normalized_nav
20241011,20241014,100000000.0,1.0,5,5,0.0,0.0,True,1.0
20241011,20241015,97257281.14116086,0.9725728114116086,5,5,-2742718.8588391393,-2.7427188588391394,False,0.9725728114116086
20241011,20241016,95858376.92336024,0.9585837692336024,5,5,-4141623.0766397566,-4.141623076639757,False,0.9585837692336024
20241011,20241017,95163043.72940242,0.9516304372940242,5,5,-4836956.270597577,-4.836956270597577,False,0.9516304372940242
20241011,20241018,100023185.59912589,1.0002318559912589,5,5,23185.599125891924,0.023185599125891923,False,1.0002318559912589
20241018,20241021,100633818.543895,1.0063381854389502,5,5,633818.5438950062,0.6338185438950061,True,1.0063381854389502
20241018,20241022,100905713.73505491,1.009057137350549,5,5,905713.7350549102,0.9057137350549102,False,1.009057137350549
20241018,20241023,101314984.5174723,1.013149845174723,5,5,1314984.517472297,1.314984517472297,False,1.013149845174723
20241018,20241024,100859577.91181691,1.008595779118169,5,5,859577.9118169099,0.8595779118169099,False,1.008595779118169
20241018,20241025,100396118.44043082,1.0039611844043081,5,5,396118.44043082,0.39611844043082,False,1.0039611844043081
20241025,20241028,99917208.62870878,0.9991720862870878,5,5,-82791.37129122019,-0.08279137129122019,True,0.9991720862870878
20241025,20241029,98716150.3155294,0.987161503155294,5,5,-1283849.684470594,-1.2838496844705938,False,0.987161503155294
20241025,20241030,98190236.78498663,0.9819023678498663,5,5,-1809763.21501337,-1.80976321501337,False,0.9819023678498663
20241025,20241031,98582136.88678846,0.9858213688678846,5,5,-1417863.1132115424,-1.4178631132115422,False,0.9858213688678846
20241025,20241101,99728555.3210746,0.9972855532107461,5,5,-271444.678925395,-0.27144467892539503,False,0.9972855532107461
20241101,20241104,100572864.31259426,1.0057286431259427,5,5,572864.3125942647,0.5728643125942647,True,1.0057286431259427
20241101,20241105,103439174.29469371,1.0343917429469371,5,5,3439174.2946937084,3.439174294693709,False,1.0343917429469371
20241101,20241106,103915357.00377634,1.0391535700377634,5,5,3915357.0037763417,3.9153570037763417,False,1.0391535700377634
20241101,20241107,105397811.99910673,1.0539781199910674,5,5,5397811.999106735,5.397811999106735,False,1.0539781199910674
20241101,20241108,104233376.93390599,1.04233376933906,5,5,4233376.933905989,4.233376933905989,False,1.04233376933906
20241108,20241111,104929903.03791703,1.0492990303791703,5,5,4929903.037917033,4.9299030379170325,True,1.0492990303791703
20241108,20241112,103184059.87584734,1.0318405987584733,5,5,3184059.8758473396,3.184059875847339,False,1.0318405987584733
20241108,20241113,103860903.9728768,1.038609039728768,5,5,3860903.972876802,3.860903972876802,False,1.038609039728768
20241108,20241114,102296693.31711173,1.0229669331711173,5,5,2296693.3171117306,2.2966933171117305,False,1.0229669331711173
20241108,20241115,100854232.01742068,1.0085423201742068,5,5,854232.0174206793,0.8542320174206794,False,1.0085423201742068
20241115,20241118,103189349.93089204,1.0318934993089204,5,5,3189349.9308920354,3.1893499308920354,True,1.0318934993089204
20241115,20241119,106404824.12988955,1.0640482412988954,5,5,6404824.129889548,6.4048241298895485,False,1.0640482412988954
20241115,20241120,106104154.7629242,1.0610415476292419,5,5,6104154.762924194,6.104154762924194,False,1.0610415476292419
20241115,20241121,106608903.54258494,1.0660890354258494,5,5,6608903.542584941,6.60890354258494,False,1.0660890354258494
20241115,20241122,102363216.82671486,1.0236321682671485,5,5,2363216.8267148584,2.3632168267148583,False,1.0236321682671485
20241122,20241125,101515628.30221888,1.0151562830221887,5,5,1515628.3022188842,1.5156283022188843,True,1.0151562830221887
20241122,20241126,101897535.03199393,1.0189753503199392,5,5,1897535.0319939256,1.8975350319939255,False,1.0189753503199392
20241122,20241127,103014572.09029438,1.0301457209029437,5,5,3014572.090294376,3.014572090294376,False,1.0301457209029437
20241122,20241128,102728583.05241065,1.0272858305241064,5,5,2728583.0524106473,2.7285830524106474,False,1.0272858305241064
20241122,20241129,103779082.51189557,1.0377908251189556,5,5,3779082.511895567,3.779082511895567,False,1.0377908251189556
20241129,20241202,105522265.63195646,1.0552226563195646,5,5,5522265.631956458,5.522265631956458,True,1.0552226563195646
20241129,20241203,105054832.79229984,1.0505483279229983,5,5,5054832.792299837,5.054832792299837,False,1.0505483279229983
20241129,20241204,103490589.0143687,1.034905890143687,5,5,3490589.014368698,3.490589014368698,False,1.034905890143687
20241129,20241205,104165382.37388778,1.0416538237388777,5,5,4165382.3738877773,4.165382373887777,False,1.0416538237388777
20241129,20241206,105239064.0648109,1.052390640648109,5,5,5239064.064810902,5.239064064810902,False,1.052390640648109
20241206,20241209,104014673.21824503,1.0401467321824502,5,5,4014673.2182450294,4.014673218245029,True,1.0401467321824502
20241206,20241210,104267670.44532126,1.0426767044532126,5,5,4267670.445321262,4.2676704453212615,False,1.0426767044532126
20241206,20241211,105116183.49661021,1.051161834966102,5,5,5116183.496610209,5.116183496610209,False,1.051161834966102
20241206,20241212,105996039.19091022,1.0599603919091023,5,5,5996039.19091022,5.99603919091022,False,1.0599603919091023
20241206,20241213,104603848.08802807,1.0460384808802807,5,5,4603848.088028073,4.603848088028073,False,1.0460384808802807
20241213,20241216,104898598.55036627,1.0489859855036627,5,5,4898598.550366268,4.898598550366268,True,1.0489859855036627
20241213,20241217,103852590.15705627,1.0385259015705628,5,5,3852590.157056272,3.852590157056272,False,1.0385259015705628
