指标,值
初始资金,"100,000,000"
最终市值,"151,127,093"
绝对收益,"51,127,093"
绝对收益率,51.13%
总收益率,51.13%
年化收益率,47.66%
年化波动率,28.75%
最大回撤,-16.21%
夏普比率,1.658
交易天数,267
起始日期,20241014
结束日期,20251114
权重方法,equal
