param_CITIC_LIMIT,param_CMVG_LIMIT,param_STK_HOLD_LIMIT,param_OTHER_LIMIT,param_STK_BUY_R,param_TURN_MAX,param_MEM_HOLD,年化收益,年化波动,夏普比率,累计收益,最大回撤,平均回撤,胜率(天),超额年化收益,超额年化波动,信息比率,超额累计收益,超额最大回撤,超额平均回撤,超额胜率(天),超额年化收益_2022,超额年化收益_2023,超额年化收益_2024,超额年化收益_2025,超额年化波动_2022,超额年化波动_2023,超额年化波动_2024,超额年化波动_2025,信息比率_2022,信息比率_2023,信息比率_2024,信息比率_2025,source_file
6.6307e-06,0.2971737407,0.0022256252,0.3271539962,0.0097860452,0.0594044124,0.0151369858,0.22980251828860013,0.2440535801505607,0.9416068313639617,0.7574291002792259,0.364300303386373,0.06197876832496591,0.558252427184466,0.18743439097993758,0.07389463130077066,2.536508913848289,1.6177837526698742,0.0957493276951471,0.010583227236606384,0.6007281553398058,0.1997626945671961,0.21049350513558898,0.16014951753188927,0.1852260456180776,0.04799223348346474,0.03987006286604597,0.10907598898812008,0.06663407410500555,4.162396289308402,5.279487665790687,1.46823805144991,2.779749671709829,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0005674372,0.2720810688,0.0028435383,0.2608063498,0.0031446283,0.0864214598,0.0829619754,0.23547253521924613,0.24374316974896887,0.9660682408526948,0.7761174760826353,0.36372472342771345,0.06182856445237036,0.5594660194174758,0.19310440791058361,0.07966173418953544,2.424054784586277,1.6364721284732835,0.10014073767442899,0.012503753128790235,0.6019417475728155,0.21515846568972805,0.2291521179525614,0.15820983784694778,0.17948213761785714,0.05662608721626631,0.043789987347844436,0.11508842204727406,0.07366841500446618,3.7996350492661626,5.232979770747558,1.374680745748352,2.436351285784769,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0004021478,0.2605782673,0.0030641549,0.2710179352,0.0032808878,0.0491411146,0.0336156484,0.24243852299638363,0.2432359977450301,0.996721395040045,0.7990773717960804,0.36097379000554153,0.06211856677484697,0.5570388349514563,0.20007039568772111,0.07917608938890332,2.526904236265063,1.6594320241867289,0.09317942174657623,0.012429405472973195,0.6104368932038835,0.2362192308141867,0.22103229537242466,0.17683087502083214,0.18236868189074892,0.05601148502909181,0.04442965550256285,0.1127874063745036,0.07548009201406494,4.217335617712988,4.9748820438113635,1.5678246419966089,2.416116316561543,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0006024033,0.2843407824,0.0015514279,0.1218942161,0.0061123955,0.0675252765,0.0321845802,0.17799039562716515,0.24051892597016036,0.7400265692573701,0.5866563439871363,0.3608040192963822,0.06795180328054287,0.5461165048543689,0.13562226831850263,0.05471152582047545,2.478861013007004,1.4470109963777846,0.06761093696781706,0.007337097751174382,0.5995145631067961,0.1260596192480484,0.157076135739272,0.12346313785993945,0.13065583181272972,0.029687951560703654,0.029178712121278025,0.0828249619411331,0.0478951560943323,4.246154167635693,5.383244301064515,1.4906513080886106,2.7279550265040466,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0001179746,0.4427322446,0.0021424091,0.1406119875,0.0084523677,0.0882835314,0.0908061387,0.19288106144640685,0.24173080099724265,0.7979167762266547,0.635735978527357,0.36254704395896553,0.06588562163257866,0.5509708737864077,0.15051293413774433,0.06105123134092306,2.465354601895711,1.4960906309180053,0.0767679745399521,0.008574378596482864,0.6019417475728155,0.13692713848298171,0.17973251726523023,0.13901996752985374,0.13843782345948272,0.034930430450135844,0.033357238866334536,0.09059197565130131,0.055677431119260636,3.919995737769364,5.388111347747775,1.534572643221263,2.4864261995663908,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0020361067,0.4151598864,0.0012766015,0.189121618,0.0057858181,0.0630214783,0.0289672087,0.1815822655300325,0.24010917407369398,0.7562487615500336,0.5984951471869872,0.36386432487490805,0.06769773594989367,0.5473300970873787,0.13921413822137,0.056051855570602965,2.4836668974502683,1.4588497995776355,0.07302725375733932,0.008017999695926457,0.5983009708737864,0.13535826225334158,0.1506428355233587,0.12739790953621774,0.14180220915176012,0.03347383745373468,0.028478161691719444,0.08509590782178737,0.048443334740723897,4.043703158934938,5.289766844998317,1.4971097059452212,2.9271768739849793,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0012466333,0.4589908523,0.0024626068,0.2754232625,0.0026731033,0.0807543492,0.0282817785,0.23869356429985877,0.24502422256762232,0.974163132928556,0.7867339879323345,0.36365209388719,0.06196867204449425,0.558252427184466,0.19632543699119626,0.08003091943639508,2.4531198488507524,1.6470886403229827,0.10461304651428205,0.012654997447971966,0.6128640776699029,0.2097723489971089,0.228272840027627,0.1589059813148437,0.19487458136798402,0.054222338775795346,0.04362327105207078,0.11691047271404736,0.0731285285694195,3.868744021988784,5.232822631644239,1.359210835658099,2.664822951866088,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0005849237,0.2752296158,0.0039578163,0.1332245466,0.0082462732,0.0483988018,0.0151369858,0.2026225883338371,0.2433784687616548,0.8325411420525834,0.667844051148327,0.35065689641555586,0.06284250107252604,0.5521844660194175,0.16025446102517454,0.05922085778129254,2.7060476161457734,1.5281987035389752,0.060394620330700644,0.009014109244690293,0.5934466019417476,0.18165796390201389,0.19655542789494906,0.14431830136481857,0.1256695495772219,0.04089113075818742,0.037767325692895724,0.07917178716729467,0.061728425881879,4.442478369606873,5.204377707154478,1.822850115279897,2.03584568668085,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0003458891,0.4363336344,0.0028251946,0.1788575965,0.0049233005,0.0768951833,0.1823214419,0.2165675721681952,0.2428897271586353,0.8916291961032643,0.7138067178663714,0.3624913730057234,0.06350736557654135,0.5533980582524272,0.1741994448595327,0.07126215790240704,2.444487368711139,1.5741613702570199,0.08605645417850893,0.010648471296892809,0.5970873786407767,0.18382941418528634,0.21197025766998157,0.14993251693346255,0.1538196448606263,0.04368455054295179,0.04044292007271912,0.10388805673604305,0.06619810433355049,4.208110462405707,5.241220398745803,1.4432122579249744,2.323626128107531,diverse_efficient_parameters_ratio_score_trade_support7.json
0.0001952676,0.2817143378,0.0018796601,0.1483338809,0.0096262604,0.0761756559,0.2291025669,0.1925423323696785,0.24174506165337642,0.7964685237117822,0.6346195274904604,0.3602973787729108,0.06505527579794167,0.5473300970873787,0.15017420506101598,0.06127195665455387,2.4509451511020854,1.4949741798811087,0.07690126627873273,0.008536854470067046,0.5946601941747572,0.14034017546185787,0.17974247201492927,0.1348060497284402,0.1399142261561243,0.03469244437328748,0.03300246214312621,0.09221547906060569,0.05392544896298537,4.045266281954959,5.446335222972636,1.461859235582816,2.59458620830699,diverse_efficient_parameters_ratio_score_trade_support7.json
