param_citic_limit,param_cmvg_limit,param_stock_hold_limit,param_other_limit,param_stock_buy_ratio,param_turnover_max,param_memory_hold
0.001969033374664725,0.3852481483465908,0.005948722913403256,0.4320752030730077,0.013740764249844478,0.06827043506872116,0.06656799049548492
0.005448156794637782,0.39515193378473235,0.006007315051502218,0.37862019314233364,0.013581246293651893,0.06934872173786272,0.1753419551309709
0.0015146570037666007,0.36081942847147996,0.0060474252271662,0.4166466269138922,0.011015399614067676,0.06563936523593158,0.21326203028786223
0.007406031619584891,0.3909207456087319,0.0059880588669934814,0.369859661624902,0.014693104758281651,0.06004451028649767,0.17661635766746464
0.00011416575131742435,0.3918837842889217,0.005935852623355738,0.4096207617405032,0.010772320607798092,0.05883342454812682,0.16403139221909516
0.002016853184845596,0.3821885104400457,0.00424877693524371,0.37818364514150615,0.013709701072501098,0.052704975963516504,0.2119841439748559
0.0053666392321929934,0.49083519284046584,0.005986731206970132,0.42387026134892536,0.013497265458190634,0.06475418434987285,0.067561194854007
0.008551727878340437,0.396228747267702,0.0060547534653656865,0.44637058572943605,0.0034624974399873826,0.09295040837409267,0.1763180311058159
0.001969033374664725,0.3852481483465908,0.005948722913403256,0.40593976804288046,0.008996802809345898,0.0882987583822073,0.06656799049548492
0.009684325708930297,0.3723340605133182,0.005988964201839675,0.3851775680640851,0.009611195136693458,0.06760952714697666,0.07620266431020879
0.008918992768832151,0.36760626315232264,0.006037295971598754,0.420514856926437,0.005460782276565506,0.060206682691677234,0.03881159562611386
0.0020699948042057215,0.37983211489248486,0.006031868590781512,0.37209535177938646,0.012144195798450417,0.09043035497243374,0.020552255294933902
0.0030957879972764724,0.42477638617245034,0.005367565445300119,0.41845732590439405,0.013487803730551742,0.07634121797167023,0.08633082649077393
0.003771628475202571,0.4453165489372273,0.004494446404393902,0.4379203683521561,0.011581069257519862,0.09294891978971823,0.1890459073751145
0.007763097330920343,0.3789789099333221,0.006065266202552182,0.3793706735881589,0.005230238514754615,0.09324806915730563,0.1693563944129298
0.0025174139223800296,0.4159430144808044,0.006046274732640182,0.36030113722657187,0.01780156447849226,0.07007554805631541,0.19759138235938611
0.0014791471621981855,0.37288113936341816,0.004268185629798356,0.42305244381096385,0.007243865825676846,0.09206423261765925,0.2643725143914643
0.004162534919776528,0.42477638617245034,0.004158960883404255,0.41845732590439405,0.013487803730551742,0.07634121797167023,0.08633082649077393
0.007084273068827307,0.3618556301465694,0.003315419260420993,0.37462095506676474,0.016524552756240506,0.053314091758858276,0.1738124399320749
0.007147056710189337,0.3846852778835017,0.0046173351618245114,0.42589103764355485,0.009585298428898853,0.09181521035099138,0.17358845145818058
0.000531401765567735,0.38048654609681365,0.00421178237608887,0.3748321767500987,0.013190913199260827,0.0723927751468168,0.30040082379037536
0.003390167819639023,0.4183083024983499,0.003324692582453219,0.43872995623360467,0.015755565177161934,0.05356706470916352,0.22839158548278085
0.008768060177058973,0.46050037888526074,0.006031868590781512,0.38634154412370864,0.012144195798450417,0.09043035497243374,0.07498668849562123
0.0008163829245310117,0.36096090887765087,0.003938586895719656,0.4187092271573523,0.017077026952264276,0.08623465858248192,0.2551266880692948
0.000402564134535377,0.42478127682704625,0.0046173351618245114,0.4131487618550452,0.014842538639873625,0.09181521035099138,0.17358845145818058
0.006046311041754043,0.3690940102912155,0.006046604792100614,0.3844505596644495,0.011785283317584683,0.05230461468495477,0.2317606289224787
0.005998538595563263,0.4533032912882614,0.0038173081779702567,0.4328750705577702,0.014784824239727535,0.09268395170655772,0.20317775313809228
