param_citic_limit,param_cmvg_limit,param_stock_hold_limit,param_other_limit,param_stock_buy_ratio,param_turnover_max,param_memory_hold
0.003541889539955906,0.3219464286506324,0.005973264427965835,0.4364802417082044,0.01506480131278953,0.08250045304981057,0.07410597513752812
0.01300358636692861,0.31730339924074463,0.005591420342302099,0.39331527491253976,0.01328207092622083,0.09153344239025961,0.09163710068811154
0.0005138560444604978,0.35119302216146486,0.002871766129494021,0.421899291159172,0.015322118803341885,0.08202748196898996,0.07616821009428255
0.0005261488769287559,0.3090971437683306,0.00163060133345002,0.0155684378250594,0.016853539853524883,0.08799321256940688,0.06671202030093917
0.010520007340731552,0.3307238431973937,0.0037496330761375663,0.42205790279163036,0.015852060864387924,0.09092113843332915,0.07333976879290727
0.00045879567531023624,0.34202103791485494,0.0029426992558925684,0.24452699048580423,0.01345597360696631,0.09210797794099122,0.09156222012058934
0.0002906028579190423,0.3691206736706358,0.0016929545572821753,0.3751616633983418,0.01683369868779739,0.06535111497303799,0.07777398870675663
0.00032661334396510977,0.35493514286585826,0.0037023533421114228,0.41632962688876063,0.013239666626662677,0.06686565388957005,0.08550636920561815
0.0004998284956143906,0.35771036285126806,0.002703801453520521,0.02614034674420121,0.014875076678320954,0.08826066844503165,0.07756412232975386
0.011817404716078533,0.34082690578623065,0.0031995321517936407,0.46756022635989863,0.013420249846927603,0.08997574369084733,0.09307812682157382
0.00014647635716430463,0.3343103458182868,0.0025673842112883434,0.026785109415638275,0.014256096825218074,0.08481308244742451,0.050735672087413
0.0064776605135905,0.3290342736978325,0.0019382851515789851,0.42002695383369765,0.016886865862878398,0.0663845702672155,0.08756312394276836
0.00022543404099467645,0.33233926342340636,0.0017771685009096636,0.031298308408476055,0.015807932165373358,0.05361960105252848,0.050580035123590716
0.004308107408424633,0.30235028385369755,0.0037496330761375663,0.49201523375485257,0.015629535443630955,0.05369096642265198,0.07333976879290727
0.006163857333466,0.3349221716906252,0.0031233500074656258,0.4787605760196305,0.015251122807601004,0.06504069616759482,0.06501720142997053
0.01813087938499844,0.3402138974601139,0.001633333690735199,0.4598446832996875,0.015433891802871517,0.06758800830302833,0.07810513512318681
0.002295480017018542,0.3437444910444184,0.004161385208369919,0.39225476002007464,0.01523899630229738,0.06896140799525768,0.06506603780084483
0.00014647635716430463,0.3343103458182868,0.005493055875592968,0.026785109415638275,0.017669212778996735,0.08481308244742451,0.06585483682993762
0.009458924397406004,0.30235028385369755,0.0037496330761375663,0.49201523375485257,0.015629535443630955,0.07440410862031462,0.07333976879290727
0.003313263430388458,0.3113902753244069,0.0020452851653266334,0.4362175164372445,0.013716761204466172,0.08407708946823235,0.07759645716488425
0.014535244182644402,0.32798569691904633,0.003507981870738759,0.4319587395348777,0.0166970814825783,0.07957731090719897,0.0839828734889615
0.00032661334396510977,0.32692838761957066,0.0037023533421114228,0.40908086392538057,0.013239666626662677,0.0412082354118089,0.05036869293914176
4.7236229504477034e-05,0.3048224331335987,0.0012681771640143408,0.04436553937799978,0.01894600164795253,0.056791070980015436,0.07326150584700658
0.005681340351343378,0.3269881861563347,0.0030180777325670783,0.46379108430458393,0.015362813933430646,0.05561930311467025,0.07597641854552625
0.0005557426102821561,0.304002507825382,0.005644626329187119,0.3916037402139083,0.014576210388051134,0.10408293248281654,0.04716280367886155
0.011817404716078533,0.34082690578623065,0.0034309678499810942,0.38192582293788213,0.015137539454904213,0.054150952382179485,0.09307812682157382
0.00032661334396510977,0.30197028481025845,0.0037023533421114228,0.09633863382626068,0.015273406499906281,0.034829780720303724,0.0850555023747594
0.013939391815540492,0.33262206375704384,0.0012795594890703619,0.38885999786494396,0.0157586371857195,0.05650444599736767,0.09210558166290246
0.007699568362292575,0.330752328473429,0.0016073499385226304,0.4087606585069268,0.01522651286069461,0.07087290305406825,0.07791819359659781
0.00527550085561837,0.3157312100603184,0.0021133036121077173,0.00012137607984447074,0.016386045113773715,0.07862981753678537,0.07623693203944366
0.014894030096840288,0.31976512187700556,0.001980273582229101,0.437864910279682,0.017580374459272304,0.045973436293807096,0.09335084901789387
0.004696742825200356,0.32025997597461636,0.0020739888536208603,0.4103315353524344,0.017025490491487993,0.08951773710839053,0.047230178656607474
6.953890370764437e-05,0.2975189970996462,0.003128447899754844,0.07701376968464044,0.016276245534697666,0.07309704383637969,0.06131227548025392
0.014973127156617333,0.31193881613402263,0.0032807839782295466,0.3974459240365811,0.016939173381903923,0.07440166517445207,0.07946081106116991
0.01443896481455706,0.33699399415188747,0.003485288516744952,0.3960917486091864,0.013542402073445136,0.053920788807587036,0.05160685243896032
0.007705838138243076,0.314688252936544,0.005695906471593571,0.4111505678254147,0.016917981994255232,0.05779870708380908,0.07218799161775599
0.004460112755323015,0.3622968234158389,0.0024090063021489413,0.4936923881147992,0.018432186784598313,0.09255554520353869,0.06853631589554152
0.0136090113506461,0.3116587960100093,0.0054900991989337445,0.3969157655509854,0.014374219501540383,0.06978390636485379,0.06619944805551894
0.017902819391474284,0.37959728627584227,0.0026802208832493006,0.43117335044535965,0.017172128700840568,0.05488086470864045,0.09295793851844106
0.008721141991378856,0.38741756047175807,0.00601337523076488,0.4891014626071167,0.017764132919087034,0.05062810315597664,0.07052036858963129
0.0023704564762245806,0.3402590497567944,0.0012476333301781658,0.4006900949184897,0.016258037659624434,0.055369233986381224,0.04446271177096495
0.011145312755816095,0.3042243670404141,0.0020625096995865178,0.49961583675006005,0.017128923115502903,0.08586502238878133,0.07992840114398078
0.016694561232711014,0.33432673533008134,0.0024013226593735722,0.03824449844471517,0.016575189760761354,0.06278507992996016,0.0917227088498607
0.00013298808512010596,0.34470914774588357,0.00485999902570549,0.32209990756370727,0.01845219294788498,0.0636838483751676,0.049568419679937775
0.013720919298040452,0.31976512187700556,0.001980273582229101,0.288418358920712,0.015571371751526654,0.0833939280494855,0.09335084901789387
0.013733558762034997,0.34025137831445706,0.005976025686769995,0.11703586056448753,0.014282181722233483,0.05358076612547274,0.07921594113542023
0.0023704564762245806,0.3074669600582818,0.0012476333301781658,0.4006900949184897,0.014711724836779903,0.06502600513970097,0.04257461999743023
