param_CITIC_LIMIT,param_CMVG_LIMIT,param_STK_HOLD_LIMIT,param_OTHER_LIMIT,param_STK_BUY_R,param_TURN_MAX,param_MEM_HOLD,年化收益,年化波动,夏普比率,累计收益,最大回撤,平均回撤,胜率(天),超额年化收益,超额年化波动,信息比率,超额累计收益,超额最大回撤,超额平均回撤,超额胜率(天),超额年化收益_2021,超额年化收益_2022,超额年化收益_2023,超额年化收益_2024,超额年化收益_2025,超额年化波动_2021,超额年化波动_2022,超额年化波动_2023,超额年化波动_2024,超额年化波动_2025,信息比率_2021,信息比率_2022,信息比率_2023,信息比率_2024,信息比率_2025,source_file
0.3922431034,0.2544374769,0.0060530178,0.0338032123,0.0103127942,0.0301894319,0.2266110893,0.16285138863777032,0.24415951728003274,0.6669876745004862,0.6605252323147964,0.3773828394973614,0.07992115539744782,0.5364891518737672,0.1362479226731847,0.05657032490650077,2.4084698629250365,0.5526215743624371,0.0611354874016693,0.00955751683789594,0.5700197238658777,0.09140071831316254,0.2279979723369131,0.10523232437334579,0.09589909786805154,0.1597469134800644,0.05760976919765396,0.052663303238732063,0.050114156946669444,0.06613548802180283,0.05387822994270577,1.5865489410237847,4.329351907596035,2.099852233079209,1.4500399216293158,2.96496216839231,diverse_efficient_parameters_ratio_score_trade_support7.json
0.3160618405,0.2610199527,0.0049369683,0.0338032123,0.0162095157,0.0301894319,0.2224626073,0.1633723474263794,0.2439381885413025,0.6697284603255875,0.6626382411613948,0.3842098964851567,0.08398056377754202,0.5315581854043393,0.13676888146179375,0.05471710487820029,2.499563559991704,0.5547345832090355,0.06180067218876817,0.009287451004792285,0.5710059171597633,0.11107884302684044,0.21653832741394874,0.09839305135119254,0.10953938841029907,0.14491070253450375,0.05487476757732073,0.0500551213090648,0.04933725309230258,0.06348226176143655,0.05492321532826053,2.0242243918450487,4.325997455423895,1.9942952877233344,1.7255117472333155,2.63842350941061,diverse_efficient_parameters_ratio_score_trade_support7.json
0.2967861379,0.2294822864,0.0060629367,0.0635340075,0.0140786503,0.0302344807,0.3800425238,0.17100809639569242,0.24739112414210446,0.6912458843812977,0.6936088389809285,0.3871088735891909,0.08513705995753555,0.539447731755424,0.1444046304311068,0.06654308042699275,2.170092359783964,0.5857051810285692,0.08477519676269618,0.011626700824236951,0.5562130177514792,0.07768039292105279,0.2460445219763358,0.10414018476743984,0.10864625890794709,0.18916507839121152,0.06659137064447997,0.0571216205795561,0.05681287165475772,0.08196363456693062,0.06762027282730923,1.1665234124069204,4.3073799286499135,1.8330385656314339,1.3255422295753334,2.7974610347152433,diverse_efficient_parameters_ratio_score_trade_support7.json
0.2016760625,0.2648259329,0.0061158767,0.086472227,0.0111558129,0.0303240474,0.1070129574,0.1803769477897167,0.24962750102555872,0.7225844390087788,0.7316089002350908,0.388576972246102,0.0804472574363941,0.539447731755424,0.15377348182513104,0.07330760878121036,2.097646948000643,0.6237052422827315,0.096477947180307,0.012003118297857353,0.5650887573964497,0.09754345050263986,0.22734143939764162,0.12417685924332914,0.12224239445616839,0.21045236080311516,0.07223587373642082,0.06010917412892907,0.06159543027068471,0.09410097534688447,0.07343119779596763,1.350346378567567,3.7821421220995908,2.016007659945335,1.2990555518212876,2.8659802252969904,diverse_efficient_parameters_ratio_score_trade_support7.json
0.4246044962,0.3038665209,0.0048023356,0.0086107453,0.0154254014,0.0305984435,0.1106864096,0.14358965652628397,0.24090929984873474,0.5960320195876329,0.5823996468706079,0.3861637660902404,0.08784675113441605,0.5335305719921104,0.11698619056169834,0.046627581329812734,2.50894829251844,0.4744959889182485,0.05132909530608798,0.00870140940611004,0.5680473372781065,0.11521666767848004,0.19875057878131402,0.07625575608801856,0.08647849512850146,0.09746715628611742,0.04685925994072756,0.04107212057375115,0.040454465429485546,0.056745981078970484,0.045712213840599605,2.458781206195275,4.839062994676098,1.8849774747595347,1.5239580580720555,2.132190679409872,diverse_efficient_parameters_ratio_score_trade_support7.json
0.2560418812,0.2870298478,0.0058229241,0.036974886,0.0137430975,0.0302987038,0.3538585115,0.1655490169983892,0.24459499923911682,0.676829115531295,0.6714668129454666,0.38561950289849456,0.08159114644000567,0.534516765285996,0.13894555103380357,0.05772447336388579,2.407047530046973,0.5635631549931073,0.06732573157687849,0.009618251189044573,0.5641025641025641,0.09243012737060867,0.22780091438139177,0.10507873333654101,0.10337223023230475,0.16687975307616398,0.05809662845360678,0.05292063683803151,0.050380408957185714,0.06863765865102142,0.0562440330837179,1.590972313383366,4.304576210573533,2.0857062400156186,1.5060570576552794,2.967065907734025,diverse_efficient_parameters_ratio_score_trade_support7.json
0.3150020892,0.3481925781,0.0062747907,0.0205216859,0.0131896531,0.0302506242,0.1186898422,0.16821702643526376,0.24316977923775332,0.6917678132643024,0.6822882592214299,0.38566112625592175,0.0776948773314353,0.5384615384615384,0.14161356047067813,0.052742724124986415,2.684987603884304,0.5743846012690705,0.05881840884907319,0.0075343975646518626,0.5769230769230769,0.12588514669738451,0.2098658149401657,0.10963535070969888,0.12449331221228309,0.12484510079818338,0.0543102286725867,0.04938603403722089,0.04447934127039141,0.06277362626139986,0.05044761094626842,2.3178901981115305,4.24949723199064,2.4648600356561463,1.9832104599768086,2.4747475342520278,diverse_efficient_parameters_ratio_score_trade_support7.json
0.2560418812,0.3530431067,0.0040799154,0.0547171316,0.0137430975,0.0303113195,0.0152852954,0.16606792743713386,0.24520225557746708,0.6772691672270029,0.673571513685015,0.3794329012626586,0.08280390207340471,0.5325443786982249,0.13946446147254826,0.06028858217976988,2.31328149427515,0.5656678557326557,0.07415190103618696,0.01019515503928711,0.5631163708086785,0.08347744236952402,0.21184317082436374,0.10188314164623007,0.1300227003846802,0.16900398184851032,0.06135812509010301,0.04993553435602831,0.05244231563416932,0.07451148996725161,0.06088988692613279,1.3604953255488055,4.242333111206402,1.9427658831267756,1.7450020183709412,2.7755673459130206,diverse_efficient_parameters_ratio_score_trade_support7.json
0.2810461433,0.4121119301,0.0058259305,0.0809713011,0.0175026206,0.0301473366,0.2840131002,0.17917394829978786,0.24750294130017542,0.723926541472826,0.7267295343039396,0.3874545612371101,0.07873215568749065,0.5384615384615384,0.15257048233520223,0.07184424949259771,2.1236283128118965,0.6188258763515803,0.09349013418290497,0.011893995020657242,0.5690335305719921,0.08500775316230819,0.23163991138852247,0.12278879876425047,0.12919586492270888,0.1980408305510745,0.07024587453080348,0.05896195119271537,0.06004971985988952,0.09227759477745517,0.07298631916469765,1.2101458445795485,3.928633749439776,2.0447855385628166,1.4000783747592151,2.713396603878385,diverse_efficient_parameters_ratio_score_trade_support7.json
0.4756193448,0.2784605293,0.0055444702,0.080930446,0.0084389698,0.0304814513,0.1120383865,0.17818041680152522,0.24845165262774221,0.717163339092354,0.7226997705469863,0.3861096294303977,0.08197477884798697,0.539447731755424,0.1515769508369396,0.07104065863157417,2.1336647739013346,0.614796112594627,0.09229129693730431,0.012342453450030284,0.5631163708086785,0.10093146509241725,0.2296463058052442,0.11604022538597113,0.12219472586340319,0.1985264288113612,0.07115489826804584,0.058822734327326306,0.05943856892016517,0.08994552049564562,0.07217832513026036,1.4184752919215884,3.9040399673933757,1.9522715215743232,1.3585415392567415,2.7504992454878967,diverse_efficient_parameters_ratio_score_trade_support7.json
0.373677937,0.214669867,0.0062747907,0.1060006967,0.0155886988,0.0302506242,0.2187122694,0.18803969501071224,0.25284922839995605,0.7436830881416482,0.7626890029634489,0.4028819666859075,0.08204368789573517,0.5384615384615384,0.16143622904612662,0.0776135531582632,2.08000049575026,0.6547853450110895,0.10868154235567407,0.012544639532524349,0.5581854043392505,0.10569022804317092,0.21692079546633425,0.13367171568532812,0.13994735593839125,0.23026188811315673,0.07588930931196293,0.06324977385045842,0.06398584368581287,0.1017644240340263,0.07578886323726268,1.3926892865595006,3.4295900563881947,2.0890826468068626,1.3752090405542705,3.038202161606577,diverse_efficient_parameters_ratio_score_trade_support7.json
0.3214655394,0.2534529652,0.0048446595,0.0917215403,0.0062217132,0.0305058791,0.3560117508,0.18825090604213018,0.24951915241315778,0.7544547351235842,0.76354567490688,0.38501891387171394,0.07658471717915463,0.5384615384615384,0.16164744007754453,0.07268905138744967,2.223821015573938,0.6556420169545206,0.10088370296189741,0.01174318240123093,0.5759368836291914,0.0962648877593526,0.2319709210010489,0.13451412750393807,0.13661813652684535,0.21996997345147024,0.07094097775934266,0.05790607977155047,0.06060683598257918,0.09491293376125191,0.0731357818714379,1.3569715388744397,4.005985587631116,2.219454708749402,1.439404843079664,3.00769292161456,diverse_efficient_parameters_ratio_score_trade_support7.json
0.4560927141,0.2457257816,0.0050326903,0.1043818325,0.0169645256,0.0302584822,0.207673625,0.19136786212664494,0.25131172781740196,0.7614760512318349,0.7761880487856718,0.3947690761554291,0.076368760367344,0.5374753451676528,0.1647643961620593,0.07550681134196892,2.1821130204511547,0.6682843908333125,0.10535252503425763,0.012228317363012638,0.5680473372781065,0.09078332370222568,0.22935615089667372,0.14053452111875306,0.1469999012966892,0.22657591291565807,0.07311761012610211,0.05942521044440538,0.062136233637181244,0.10013744014225329,0.07522548104282231,1.2416068242063223,3.859576586796363,2.2617161178346614,1.4679814172188146,3.011956982856369,diverse_efficient_parameters_ratio_score_trade_support7.json
